code,vw,gm_uA_per_V,w_eff_vs_zero
7.100000000000000000e+01,5.000000000000000000e-01,3.742755500000000346e+00,-3.183788699999998073e+01
7.200000000000000000e+01,5.070200000000000262e-01,3.760208500000000509e+00,-3.182043399999998101e+01
7.300000000000000000e+01,5.140400000000000524e-01,3.780712000000005624e+00,-3.179993049999997723e+01
7.400000000000000000e+01,5.210599999999999676e-01,3.804755999999992255e+00,-3.177588649999999149e+01
7.500000000000000000e+01,5.280799999999999939e-01,3.832915500000006137e+00,-3.174772699999997627e+01
7.600000000000000000e+01,5.351000000000000201e-01,3.865827000000001679e+00,-3.171481549999997895e+01
7.700000000000000000e+01,5.421200000000000463e-01,3.904247499999999871e+00,-3.167639499999998165e+01
7.800000000000000000e+01,5.491399999999999615e-01,3.949001999999993462e+00,-3.163164049999998895e+01
7.900000000000000000e+01,5.561599999999999877e-01,4.001092499999997720e+00,-3.157954999999998336e+01
8.000000000000000000e+01,5.631800000000000139e-01,4.061573499999998837e+00,-3.151906899999998402e+01
8.100000000000000000e+01,5.702000000000000401e-01,4.131618499999989425e+00,-3.144902399999999432e+01
8.200000000000000000e+01,5.772199999999999553e-01,4.212669500000002287e+00,-3.136797299999997790e+01
8.300000000000000000e+01,5.842399999999999816e-01,4.306113499999999483e+00,-3.127452899999998337e+01
8.400000000000000000e+01,5.912600000000000078e-01,4.413850999999995750e+00,-3.116679149999998799e+01
8.500000000000000000e+01,5.982800000000000340e-01,4.537419500000000383e+00,-3.104322299999998336e+01
8.600000000000000000e+01,6.052999999999999492e-01,4.679049499999990758e+00,-3.090159299999999121e+01
8.700000000000000000e+01,6.123199999999999754e-01,4.840807500000001262e+00,-3.073983499999998159e+01
8.800000000000000000e+01,6.193400000000000016e-01,5.025112999999997498e+00,-3.055552949999998447e+01
8.900000000000000000e+01,6.263600000000000279e-01,5.234708500000004427e+00,-3.034593399999997843e+01
9.000000000000000000e+01,6.333800000000000541e-01,5.472548499999993155e+00,-3.010809399999998703e+01
9.100000000000000000e+01,6.403999999999999693e-01,5.742157500000010906e+00,-2.983848499999997017e+01
9.200000000000000000e+01,6.474199999999999955e-01,6.047564000000004825e+00,-2.953307849999997714e+01
9.300000000000000000e+01,6.544400000000000217e-01,6.393773499999991117e+00,-2.918686899999999085e+01
9.400000000000000000e+01,6.614599999999999369e-01,6.789860499999994303e+00,-2.879078199999998589e+01
9.500000000000000000e+01,6.684799999999999631e-01,7.241387000000001350e+00,-2.833925549999997884e+01
9.600000000000000000e+01,6.754999999999999893e-01,7.739172000000001717e+00,-2.784147049999997847e+01
9.700000000000000000e+01,6.825200000000000156e-01,8.288307999999995346e+00,-2.729233449999998840e+01
9.800000000000000000e+01,6.895400000000000418e-01,8.893505000000009986e+00,-2.668713749999997020e+01
9.900000000000000000e+01,6.965600000000000680e-01,9.560668499999994907e+00,-2.601997399999998706e+01
1.000000000000000000e+02,7.035799999999999832e-01,1.029609900000000344e+01,-2.528454349999997675e+01
1.010000000000000000e+02,7.106000000000000094e-01,1.110658350000000283e+01,-2.447405899999997914e+01
1.020000000000000000e+02,7.176200000000000356e-01,1.199931349999999775e+01,-2.358132899999998244e+01
