 v-sweep         v(iout)         v(ioutr)       
 5.00000000e-01  2.12681163e-01  6.54276239e-01 
 5.07020000e-01  2.12777044e-01  6.54276239e-01 
 5.14040000e-01  2.12889930e-01  6.54276239e-01 
 5.21060000e-01  2.13022698e-01  6.54276239e-01 
 5.28080000e-01  2.13178691e-01  6.54276239e-01 
 5.35100000e-01  2.13361791e-01  6.54276239e-01 
 5.42120000e-01  2.13576499e-01  6.54276239e-01 
 5.49140000e-01  2.13828032e-01  6.54276239e-01 
 5.56160000e-01  2.14122425e-01  6.54276239e-01 
 5.63180000e-01  2.14466620e-01  6.54276239e-01 
 5.70200000e-01  2.14868416e-01  6.54276239e-01 
 5.77220000e-01  2.15338085e-01  6.54276239e-01 
 5.84240000e-01  2.15885203e-01  6.54276239e-01 
 5.91260000e-01  2.16522377e-01  6.54276239e-01 
 5.98280000e-01  2.17263691e-01  6.54276239e-01 
 6.05300000e-01  2.18125070e-01  6.54276239e-01 
 6.12320000e-01  2.19125094e-01  6.54276239e-01 
 6.19340000e-01  2.20285494e-01  6.54276239e-01 
 6.26360000e-01  2.21631476e-01  6.54276239e-01 
 6.33380000e-01  2.23193560e-01  6.54276239e-01 
 6.40400000e-01  2.25009551e-01  6.54276239e-01 
 6.47420000e-01  2.27128425e-01  6.54276239e-01 
 6.54440000e-01  2.29615202e-01  6.54276239e-01 
 6.61460000e-01  2.32563135e-01  6.54276239e-01 
 6.68480000e-01  2.36108006e-01  6.54276239e-01 
 6.75500000e-01  2.40285620e-01  6.54276239e-01 
 6.82520000e-01  2.45217837e-01  6.54276239e-01 
 6.89540000e-01  2.51202862e-01  6.54276239e-01 
 6.96560000e-01  2.58731202e-01  6.54276239e-01 
 7.03580000e-01  2.68606256e-01  6.54276239e-01 
 7.10600000e-01  2.81918650e-01  6.54276239e-01 
 7.17620000e-01  2.99358886e-01  6.54276239e-01 
 7.24640000e-01  3.20325856e-01  6.54276239e-01 
 7.31660000e-01  3.43588624e-01  6.54276239e-01 
 7.38680000e-01  3.68224849e-01  6.54276239e-01 
 7.45700000e-01  3.93673631e-01  6.54276239e-01 
 7.52720000e-01  4.19562099e-01  6.54276239e-01 
 7.59740000e-01  4.45604080e-01  6.54276239e-01 
 7.66760000e-01  4.71556603e-01  6.54276239e-01 
 7.73780000e-01  4.97202510e-01  6.54276239e-01 
 7.80800000e-01  5.22344385e-01  6.54276239e-01 
 7.87820000e-01  5.46803887e-01  6.54276239e-01 
 7.94840000e-01  5.70424028e-01  6.54276239e-01 
 8.01860000e-01  5.93072995e-01  6.54276239e-01 
 8.08880000e-01  6.14648235e-01  6.54276239e-01 
 8.15900000e-01  6.35079466e-01  6.54276239e-01 
 8.22920000e-01  6.54329391e-01  6.54276239e-01 
 8.29940000e-01  6.72391615e-01  6.54276239e-01 
 8.36960000e-01  6.89286080e-01  6.54276239e-01 
 8.43980000e-01  7.05053054e-01  6.54276239e-01 
 8.51000000e-01  7.19746833e-01  6.54276239e-01 
 8.58020000e-01  7.33430091e-01  6.54276239e-01 
 8.65040000e-01  7.46169343e-01  6.54276239e-01 
 8.72060000e-01  7.58031626e-01  6.54276239e-01 
 8.79080000e-01  7.69082268e-01  6.54276239e-01 
 8.86100000e-01  7.79383507e-01  6.54276239e-01 
 8.93120000e-01  7.88993737e-01  6.54276239e-01 
 9.00140000e-01  7.97967175e-01  6.54276239e-01 
 9.07160000e-01  8.06353810e-01  6.54276239e-01 
 9.14180000e-01  8.14199520e-01  6.54276239e-01 
 9.21200000e-01  8.21546282e-01  6.54276239e-01 
 9.28220000e-01  8.28432439e-01  6.54276239e-01 
 9.35240000e-01  8.34892984e-01  6.54276239e-01 
 9.42260000e-01  8.40959838e-01  6.54276239e-01 
 9.49280000e-01  8.46662129e-01  6.54276239e-01 
 9.56300000e-01  8.52026447e-01  6.54276239e-01 
 9.63320000e-01  8.57077078e-01  6.54276239e-01 
 9.70340000e-01  8.61836231e-01  6.54276239e-01 
 9.77360000e-01  8.66324227e-01  6.54276239e-01 
 9.84380000e-01  8.70559685e-01  6.54276239e-01 
 9.91400000e-01  8.74559680e-01  6.54276239e-01 
 9.98420000e-01  8.78339892e-01  6.54276239e-01 
 1.00544000e+00  8.81914734e-01  6.54276239e-01 
 1.01246000e+00  8.85297472e-01  6.54276239e-01 
 1.01948000e+00  8.88500333e-01  6.54276239e-01 
 1.02650000e+00  8.91534594e-01  6.54276239e-01 
 1.03352000e+00  8.94410673e-01  6.54276239e-01 
 1.04054000e+00  8.97138206e-01  6.54276239e-01 
 1.04756000e+00  8.99726112e-01  6.54276239e-01 
 1.05458000e+00  9.02182660e-01  6.54276239e-01 
 1.06160000e+00  9.04515522e-01  6.54276239e-01 
 1.06862000e+00  9.06731826e-01  6.54276239e-01 
 1.07564000e+00  9.08838201e-01  6.54276239e-01 
 1.08266000e+00  9.10840818e-01  6.54276239e-01 
 1.08968000e+00  9.12745430e-01  6.54276239e-01 
 1.09670000e+00  9.14557403e-01  6.54276239e-01 
 1.10372000e+00  9.16281746e-01  6.54276239e-01 
 1.11074000e+00  9.17923145e-01  6.54276239e-01 
 1.11776000e+00  9.19485982e-01  6.54276239e-01 
 1.12478000e+00  9.20974361e-01  6.54276239e-01 
 1.13180000e+00  9.22392131e-01  6.54276239e-01 
 1.13882000e+00  9.23742901e-01  6.54276239e-01 
 1.14584000e+00  9.25030060e-01  6.54276239e-01 
 1.15286000e+00  9.26256794e-01  6.54276239e-01 
 1.15988000e+00  9.27426100e-01  6.54276239e-01 
 1.16690000e+00  9.28540798e-01  6.54276239e-01 
 1.17392000e+00  9.29603545e-01  6.54276239e-01 
 1.18094000e+00  9.30616845e-01  6.54276239e-01 
 1.18796000e+00  9.31583062e-01  6.54276239e-01 
 1.19498000e+00  9.32504427e-01  6.54276239e-01 
 1.20200000e+00  9.33383048e-01  6.54276239e-01 
 1.20902000e+00  9.34220917e-01  6.54276239e-01 
 1.21604000e+00  9.35019920e-01  6.54276239e-01 
 1.22306000e+00  9.35781841e-01  6.54276239e-01 
 1.23008000e+00  9.36508371e-01  6.54276239e-01 
 1.23710000e+00  9.37201110e-01  6.54276239e-01 
 1.24412000e+00  9.37861579e-01  6.54276239e-01 
 1.25114000e+00  9.38491219e-01  6.54276239e-01 
 1.25816000e+00  9.39091397e-01  6.54276239e-01 
 1.26518000e+00  9.39663414e-01  6.54276239e-01 
 1.27220000e+00  9.40208504e-01  6.54276239e-01 
 1.27922000e+00  9.40727842e-01  6.54276239e-01 
 1.28624000e+00  9.41222546e-01  6.54276239e-01 
 1.29326000e+00  9.41693677e-01  6.54276239e-01 
 1.30028000e+00  9.42142249e-01  6.54276239e-01 
 1.30730000e+00  9.42569226e-01  6.54276239e-01 
 1.31432000e+00  9.42975526e-01  6.54276239e-01 
 1.32134000e+00  9.43362026e-01  6.54276239e-01 
 1.32836000e+00  9.43729561e-01  6.54276239e-01 
 1.33538000e+00  9.44078928e-01  6.54276239e-01 
 1.34240000e+00  9.44410889e-01  6.54276239e-01 
 1.34942000e+00  9.44726169e-01  6.54276239e-01 
